Time (s),A0 (g),Force(N)
0.0,-0.020000000000000018,0.33
0.0005,-0.010000000000000009,0.1
0.001,-0.020000000000000018,-0.33
0.001501,-0.010000000000000009,-0.04
0.002,-0.020000000000000018,0.67
0.0025,-0.010000000000000009,0.24
0.003,-0.010000000000000009,0.1
0.0035,-0.020000000000000018,-0.11
0.004,-0.020000000000000018,0.26
0.0045,-0.010000000000000009,-0.03
0.005,-0.020000000000000018,-0.3
0.0055,-0.010000000000000009,0.1
0.006,-0.010000000000000009,-0.04
0.0065,-0.020000000000000018,0.02
0.007,-0.010000000000000009,-0.34
0.0075,-0.010000000000000009,0.08
0.008,-0.010000000000000009,1.07
0.0085,-0.020000000000000018,-0.02
0.009,-0.010000000000000009,0.41
0.009501,-0.020000000000000018,0.13
0.01,-0.020000000000000018,0.85
0.0105,-0.030000000000000027,0.38
0.011,-0.010000000000000009,-0.1
0.0115,-0.010000000000000009,0.01
0.012,-0.020000000000000018,-0.63
0.0125,-0.020000000000000018,-0.48
0.013,-0.020000000000000018,0.51
0.0135,-0.010000000000000009,0.24
0.014,-0.020000000000000018,0.21
0.0145,-0.020000000000000018,0.06
0.015,-0.010000000000000009,0.43
0.0155,-0.020000000000000018,-0.0
0.016,-0.010000000000000009,0.22
0.0165,-0.010000000000000009,-0.21
0.017,-0.010000000000000009,0.53
0.0175,-0.010000000000000009,-0.37
0.018,-0.010000000000000009,0.44
0.0185,-0.010000000000000009,0.85
0.019,-0.020000000000000018,0.7
0.0195,-0.010000000000000009,0.9
0.02,-0.020000000000000018,0.5
0.0205,-0.010000000000000009,0.01
0.021,-0.020000000000000018,0.02
0.0215,-0.020000000000000018,-0.12
0.022,-0.020000000000000018,-0.36
0.0225,-0.020000000000000018,-0.18
0.023,-0.020000000000000018,-0.62
0.0235,-0.020000000000000018,0.53
0.024,-0.010000000000000009,-0.17
0.024501,-0.010000000000000009,0.15
0.025,-0.020000000000000018,0.67
0.0255,-0.010000000000000009,0.45
0.026,-0.010000000000000009,-0.06
0.0265,-0.020000000000000018,0.09
0.027,-0.020000000000000018,0.26
0.0275,-0.010000000000000009,-0.12
0.028,0.0,-0.38
0.028501,-0.020000000000000018,-0.15
0.029,-0.010000000000000009,0.65
0.0295,-0.010000000000000009,0.55
0.03,-0.020000000000000018,0.57
0.0305,-0.030000000000000027,-0.16
0.031,-0.020000000000000018,0.13
0.0315,-0.020000000000000018,0.3
0.032,-0.010000000000000009,-0.14
0.0325,-0.010000000000000009,-0.31
0.033,-0.010000000000000009,0.06
0.0335,-0.010000000000000009,0.27
0.034,-0.010000000000000009,0.05
0.034501,-0.020000000000000018,-0.26
0.035,-0.010000000000000009,-0.12
0.0355,0.0,0.46
0.036,-0.020000000000000018,0.23
0.0365,-0.010000000000000009,0.66
0.037,-0.010000000000000009,-0.11
0.0375,-0.020000000000000018,-0.3
0.038,-0.020000000000000018,0.21
0.0385,-0.020000000000000018,0.36
0.039,-0.010000000000000009,0.28
0.0395,-0.020000000000000018,0.92
0.04,-0.010000000000000009,-0.44
0.0405,-0.010000000000000009,0.31
0.041,-0.020000000000000018,0.36
0.0415,-0.010000000000000009,-0.15
0.042,-0.020000000000000018,-0.05
0.0425,-0.010000000000000009,-0.32
0.043,-0.010000000000000009,0.42
0.0435,-0.010000000000000009,0.29
0.044,-0.010000000000000009,-0.02
0.0445,-0.010000000000000009,-0.04
0.045,-0.020000000000000018,0.07
0.0455,-0.010000000000000009,0.44
0.046,0.0,-0.32
0.0465,-0.010000000000000009,0.28
0.047,-0.020000000000000018,1.09
0.0475,-0.010000000000000009,0.7
0.048,-0.020000000000000018,0.1
0.0485,-0.020000000000000018,0.72
0.049,-0.010000000000000009,0.87
0.0495,-0.010000000000000009,-0.3
0.05,-0.010000000000000009,0.25
0.0505,0.0,0.33
0.051,-0.020000000000000018,-0.5
0.051501,0.0,-0.16
0.052,-0.020000000000000018,0.42
0.0525,0.0,0.3
0.053,-0.020000000000000018,0.01
0.0535,0.0,0.11
0.054,-0.020000000000000018,0.34
0.0545,-0.010000000000000009,0.38
0.055,-0.020000000000000018,0.3
0.055501,-0.010000000000000009,0.11
0.056,-0.020000000000000018,0.35
0.0565,0.0,0.62
0.057,-0.010000000000000009,0.56
0.0575,-0.010000000000000009,0.94
0.058,0.0,0.3
0.0585,-0.010000000000000009,0.45
0.059001,-0.010000000000000009,-0.68
0.0595,-0.010000000000000009,-0.63
0.06,-0.010000000000000009,-0.35
0.0605,-0.020000000000000018,0.79
0.061,-0.010000000000000009,-0.37
0.061501,-0.020000000000000018,0.04
0.062,0.0,0.14
0.0625,-0.010000000000000009,-0.01
0.063,-0.010000000000000009,0.06
0.0635,-0.020000000000000018,0.71
0.064,-0.010000000000000009,0.27
0.0645,-0.010000000000000009,0.19
0.065,-0.010000000000000009,-0.11
0.0655,-0.010000000000000009,-0.15
0.066,-0.010000000000000009,-0.16
0.0665,-0.010000000000000009,0.55
0.067,-0.010000000000000009,0.04
0.067501,-0.010000000000000009,-0.4
0.068,-0.010000000000000009,-0.1
0.0685,0.0,0.27
0.069,0.0,0.68
0.0695,-0.020000000000000018,-0.84
0.07,-0.030000000000000027,-0.12
0.0705,-0.010000000000000009,0.21
0.071,-0.020000000000000018,-0.11
0.071501,-0.020000000000000018,0.12
0.072,-0.020000000000000018,-0.29
0.0725,-0.010000000000000009,0.22
0.073,-0.010000000000000009,-0.25
0.0735,-0.010000000000000009,-0.12
0.074,-0.010000000000000009,0.62
0.0745,-0.010000000000000009,-0.07
0.075,-0.010000000000000009,0.04
0.0755,-0.010000000000000009,-0.03
0.076,-0.010000000000000009,0.31
0.0765,-0.010000000000000009,0.5
0.077,-0.010000000000000009,0.7
0.077501,0.0,0.72
0.078,0.0,0.4
0.0785,-0.010000000000000009,-0.33
0.079,-0.010000000000000009,-0.17
0.079501,0.0,-0.19
0.08,-0.010000000000000009,0.18
0.0805,-0.010000000000000009,-0.08
0.081,-0.010000000000000009,0.01
0.0815,-0.020000000000000018,-0.32
0.082001,-0.020000000000000018,0.52
0.082501,-0.010000000000000009,0.08
0.083001,-0.010000000000000009,-0.27
0.0835,0.0,-0.01
0.084,-0.010000000000000009,0.28
0.0845,-0.010000000000000009,-0.29
0.085,0.0,-0.14
0.0855,-0.010000000000000009,0.45
