Time (s),A0 (g)
0.0,-0.27
0.0005,-0.16999999999999993
0.001,-0.73
0.0015,-1.0
0.002,-0.87
0.0025,-0.6499999999999999
0.003,0.020000000000000018
0.0035,0.050000000000000044
0.004,0.3800000000000001
0.0045,1.1
0.005,0.8800000000000001
0.0055,1.02
0.006,0.54
0.0065,-0.12
0.007,0.14000000000000012
0.0075,-0.29000000000000004
0.008,-1.04
0.0085,-0.6599999999999999
0.009,-0.74
0.0095,-0.26
0.01,0.20999999999999996
0.0105,0.19999999999999996
0.011,0.75
0.0115,0.98
0.012,0.8800000000000001
0.0125,0.6300000000000001
0.013,-0.05999999999999994
0.013501,-0.07999999999999996
0.014,-0.35
0.0145,-1.05
0.015,-0.88
0.0155,-1.04
0.016,-0.62
0.0165,0.08000000000000007
0.017,-0.20999999999999996
0.0175,0.29000000000000004
0.018,1.0499999999999998
0.018501,0.6400000000000001
0.019,0.72
0.0195,0.24
0.02,-0.28
0.020501,-0.16999999999999993
0.021,-0.73
0.0215,-1.01
0.022,-0.88
0.0225,-0.6599999999999999
0.023,0.030000000000000027
0.0235,0.040000000000000036
0.024,0.3800000000000001
0.0245,1.1099999999999999
0.025,0.9099999999999999
0.0255,1.0299999999999998
0.026,0.52
0.0265,-0.10999999999999999
0.027,0.15999999999999992
0.0275,-0.29000000000000004
0.028,-1.01
0.028501,-0.6499999999999999
0.029,-0.74
0.0295,-0.24
0.03,0.21999999999999997
0.0305,0.18999999999999995
0.031,0.75
0.031501,1.01
0.032,0.8600000000000001
0.0325,0.6300000000000001
0.033,-0.05999999999999994
0.0335,-0.06999999999999995
0.034,-0.39
0.034501,-1.07
0.035,-0.89
0.0355,-1.04
0.036001,-0.5700000000000001
0.0365,0.10000000000000009
0.037,-0.15000000000000002
0.0375,0.28
0.038,1.04
0.0385,0.6599999999999999
0.039,0.72
0.0395,0.20999999999999996
0.04,-0.26
0.0405,-0.16999999999999993
0.041,-0.72
0.0415,-1.01
0.042,-0.89
0.0425,-0.6599999999999999
0.043,0.030000000000000027
0.0435,0.050000000000000044
0.044,0.3800000000000001
0.0445,1.1
0.045,0.8800000000000001
0.0455,1.04
0.046,0.56
0.046501,-0.12
0.047,0.15999999999999992
