Time (s),A0 (g),Force(N)
0.0,-0.020000000000000018,0.1
0.0005,-0.010000000000000009,0.03
0.001,-0.020000000000000018,0.1
0.0015,-0.020000000000000018,0.13
0.002,-0.020000000000000018,0.18
0.0025,-0.020000000000000018,0.17
0.003,-0.010000000000000009,0.11
0.0035,-0.020000000000000018,0.16
0.004,-0.010000000000000009,0.15
0.0045,-0.020000000000000018,0.15
0.005,-0.030000000000000027,0.16
0.0055,-0.030000000000000027,0.17
0.006,-0.020000000000000018,0.14
0.0065,-0.030000000000000027,0.11
0.007,-0.020000000000000018,0.12
0.0075,-0.020000000000000018,0.15
0.008,-0.010000000000000009,0.16
0.0085,-0.020000000000000018,0.15
0.009,-0.010000000000000009,0.01
0.0095,-0.020000000000000018,0.12
0.01,-0.020000000000000018,0.08
0.0105,-0.020000000000000018,0.17
0.011,-0.010000000000000009,0.31
0.0115,-0.020000000000000018,0.13
0.012,-0.010000000000000009,0.12
0.0125,-0.020000000000000018,0.12
0.013,-0.020000000000000018,0.1
0.0135,-0.020000000000000018,0.17
0.014,-0.010000000000000009,0.1
0.0145,-0.020000000000000018,0.1
0.015001,-0.030000000000000027,0.2
0.0155,-0.010000000000000009,0.17
0.016,-0.010000000000000009,0.06
0.0165,-0.020000000000000018,0.28
0.017,-0.010000000000000009,0.27
0.0175,0.0,0.18
0.018,-0.020000000000000018,0.12
0.0185,-0.020000000000000018,0.13
0.019,-0.020000000000000018,0.16
0.0195,-0.020000000000000018,0.13
0.020001,-0.020000000000000018,0.15
0.0205,-0.020000000000000018,0.1
0.021,-0.010000000000000009,0.1
0.0215,-0.010000000000000009,0.11
0.022,-0.010000000000000009,0.16
0.0225,-0.020000000000000018,0.15
0.023,-0.010000000000000009,0.19
0.0235,-0.020000000000000018,0.12
0.024,-0.020000000000000018,0.11
0.0245,-0.020000000000000018,0.12
0.025,-0.020000000000000018,0.15
0.0255,-0.020000000000000018,0.14
0.026,-0.010000000000000009,0.18
0.0265,-0.020000000000000018,0.15
0.027,-0.020000000000000018,0.12
0.0275,-0.020000000000000018,0.09
0.028,-0.020000000000000018,0.06
0.0285,-0.010000000000000009,0.16
0.029001,-0.010000000000000009,-0.02
0.029501,-0.020000000000000018,0.1
0.03,-0.010000000000000009,0.1
0.0305,-0.020000000000000018,0.11
0.031001,-0.010000000000000009,0.13
0.0315,-0.010000000000000009,0.15
0.032,-0.020000000000000018,0.16
0.0325,-0.010000000000000009,-0.0
0.033,0.0,0.12
0.0335,-0.010000000000000009,0.12
0.034001,-0.010000000000000009,0.31
0.0345,-0.010000000000000009,0.15
0.035,-0.020000000000000018,0.12
0.0355,-0.010000000000000009,0.32
0.036,-0.010000000000000009,0.28
0.0365,-0.010000000000000009,0.12
0.037,-0.010000000000000009,0.17
0.0375,-0.010000000000000009,0.22
0.038,0.0,0.27
0.0385,-0.010000000000000009,0.18
0.039,-0.020000000000000018,0.15
0.0395,-0.020000000000000018,0.14
0.04,-0.010000000000000009,0.13
0.0405,-0.010000000000000009,0.19
0.041,-0.020000000000000018,0.15
0.0415,-0.020000000000000018,0.08
0.042,-0.010000000000000009,0.1
0.0425,-0.020000000000000018,0.01
0.043,0.0,0.17
0.0435,-0.010000000000000009,0.18
0.044,-0.010000000000000009,-0.0
0.0445,-0.020000000000000018,0.07
0.045,-0.010000000000000009,0.17
0.0455,-0.010000000000000009,0.12
0.046001,0.0,0.14
0.0465,0.0,0.18
0.047,-0.010000000000000009,0.15
0.0475,-0.010000000000000009,0.12
0.048,0.010000000000000009,0.13
0.0485,-0.010000000000000009,0.05
0.049,-0.010000000000000009,0.18
0.0495,0.0,0.14
0.05,0.0,0.05
0.0505,0.0,0.14
0.051,-0.010000000000000009,0.17
0.0515,-0.010000000000000009,0.11
0.052,-0.010000000000000009,0.27
0.0525,-0.020000000000000018,0.15
0.053,-0.010000000000000009,0.16
0.0535,0.0,0.1
0.054001,0.0,0.03
0.0545,-0.010000000000000009,0.09
0.055,0.0,0.08
0.0555,-0.010000000000000009,0.02
0.056,0.010000000000000009,0.22
0.0565,-0.010000000000000009,0.11
0.057001,-0.010000000000000009,0.15
0.0575,0.0,0.02
0.058001,-0.010000000000000009,0.13
0.0585,0.010000000000000009,0.14
0.059,-0.010000000000000009,0.16
0.0595,0.0,0.11
0.06,-0.010000000000000009,0.08
0.0605,-0.020000000000000018,0.38
0.061,-0.020000000000000018,0.21
0.0615,-0.010000000000000009,0.12
0.062,-0.010000000000000009,0.12
0.0625,-0.010000000000000009,0.18
0.063001,-0.010000000000000009,0.1
0.063501,-0.010000000000000009,0.07
0.064,0.0,0.09
0.0645,-0.020000000000000018,0.15
0.065,-0.010000000000000009,0.11
0.0655,-0.010000000000000009,0.13
0.066,-0.010000000000000009,0.18
0.0665,-0.010000000000000009,0.29
0.067,-0.010000000000000009,0.17
0.0675,0.0,0.05
0.068001,0.010000000000000009,0.18
0.0685,-0.010000000000000009,-0.07
0.069,-0.010000000000000009,0.17
0.0695,-0.010000000000000009,0.17
0.07,-0.010000000000000009,0.13
0.0705,-0.010000000000000009,0.19
0.071,-0.010000000000000009,0.14
0.0715,-0.010000000000000009,0.17
0.072,-0.010000000000000009,0.1
0.0725,0.0,0.06
0.073,0.0,0.06
0.0735,-0.010000000000000009,0.13
0.074,-0.020000000000000018,0.19
0.0745,-0.020000000000000018,0.16
0.075,-0.010000000000000009,0.24
0.0755,0.0,0.1
0.076,-0.010000000000000009,0.02
0.0765,-0.020000000000000018,0.14
0.077,-0.010000000000000009,0.1
0.0775,0.010000000000000009,0.15
0.078001,-0.010000000000000009,0.12
0.0785,0.0,0.05
0.079,-0.010000000000000009,0.1
0.0795,-0.020000000000000018,0.09
0.080001,-0.020000000000000018,0.13
0.0805,-0.010000000000000009,0.15
0.081,-0.020000000000000018,0.1
0.0815,-0.010000000000000009,0.07
0.082,-0.020000000000000018,0.12
0.0825,-0.010000000000000009,0.07
0.083001,-0.010000000000000009,0.14
0.0835,-0.010000000000000009,0.11
0.084,0.010000000000000009,0.12
0.0845,-0.010000000000000009,-0.03
0.085,-0.010000000000000009,0.1
0.0855,-0.020000000000000018,0.1
0.086001,0.0,0.08
0.0865,-0.010000000000000009,-0.0
0.087,0.0,0.15
0.0875,-0.020000000000000018,0.11
0.088,-0.010000000000000009,0.12
0.0885,0.0,0.17
0.089,-0.010000000000000009,0.01
0.0895,-0.010000000000000009,0.09
0.09,-0.010000000000000009,0.11
0.0905,-0.010000000000000009,0.09
0.091,-0.020000000000000018,0.17
0.0915,-0.010000000000000009,0.15
0.092,-0.020000000000000018,0.17
0.0925,-0.030000000000000027,0.17
0.093001,-0.010000000000000009,0.05
0.0935,-0.030000000000000027,0.12
0.094,-0.020000000000000018,0.1
0.0945,-0.020000000000000018,0.08
0.095001,-0.020000000000000018,0.04
0.0955,-0.020000000000000018,0.09
0.096,-0.020000000000000018,0.12
0.0965,-0.010000000000000009,0.09
0.097,-0.010000000000000009,0.08
0.0975,-0.010000000000000009,0.13
0.098001,-0.010000000000000009,0.14
0.0985,-0.030000000000000027,0.04
0.099,-0.020000000000000018,0.01
0.0995,-0.010000000000000009,0.14
0.100001,-0.010000000000000009,0.12
0.1005,-0.010000000000000009,0.11
0.101,-0.010000000000000009,0.13
0.1015,0.0,0.18
0.102,-0.010000000000000009,0.15
0.1025,0.0,0.14
0.103,-0.010000000000000009,0.15
0.1035,-0.020000000000000018,0.12
0.104,-0.010000000000000009,0.15
0.1045,-0.020000000000000018,0.13
0.105,-0.010000000000000009,0.24
0.1055,-0.020000000000000018,0.12
0.106,-0.010000000000000009,0.25
0.1065,-0.010000000000000009,0.05
0.107,-0.010000000000000009,0.15
0.1075,-0.020000000000000018,0.1
0.108,-0.020000000000000018,0.06
0.1085,-0.010000000000000009,0.08
0.109001,-0.010000000000000009,0.02
0.1095,-0.020000000000000018,0.1
0.11,-0.010000000000000009,0.17
0.1105,-0.020000000000000018,0.07
0.111,-0.010000000000000009,0.13
0.1115,-0.020000000000000018,0.14
0.112,-0.030000000000000027,0.26
0.1125,-0.020000000000000018,0.1
0.113,-0.020000000000000018,0.1
0.1135,-0.020000000000000018,0.06
0.114,-0.020000000000000018,0.13
0.1145,-0.010000000000000009,0.15
0.115,-0.010000000000000009,0.18
0.1155,-0.020000000000000018,0.16
0.116,-0.030000000000000027,0.03
0.1165,-0.020000000000000018,0.09
0.117,-0.020000000000000018,0.04
0.1175,-0.030000000000000027,0.14
0.118,-0.030000000000000027,0.18
0.1185,-0.030000000000000027,0.15
0.119,-0.020000000000000018,0.12
