Time (s),A0 (g),Force(N)
0.0,-0.010000000000000009,0.12
0.0005,-0.010000000000000009,0.09
0.001,-0.010000000000000009,0.22
0.001501,-0.010000000000000009,0.08
0.002,0.010000000000000009,0.11
0.0025,0.0,0.12
0.003,-0.010000000000000009,0.15
0.0035,-0.020000000000000018,0.1
0.004,-0.010000000000000009,0.1
0.0045,-0.020000000000000018,0.09
0.005,-0.010000000000000009,0.1
0.0055,-0.010000000000000009,0.18
0.006,-0.020000000000000018,0.14
0.0065,-0.020000000000000018,0.09
0.007,-0.020000000000000018,0.14
0.0075,-0.010000000000000009,0.16
0.008,-0.020000000000000018,0.08
0.0085,-0.010000000000000009,0.16
0.009,-0.010000000000000009,0.15
0.0095,0.0,0.08
0.01,-0.020000000000000018,0.09
0.0105,0.0,0.06
0.011,-0.010000000000000009,0.02
0.0115,-0.020000000000000018,0.21
0.012001,-0.010000000000000009,0.06
0.0125,-0.020000000000000018,0.16
0.013,-0.020000000000000018,0.17
0.0135,-0.020000000000000018,-0.02
0.014,-0.020000000000000018,0.06
0.0145,-0.010000000000000009,0.1
0.015,-0.010000000000000009,0.12
0.0155,0.0,0.11
0.016,-0.030000000000000027,0.06
0.0165,-0.010000000000000009,0.05
0.017,-0.010000000000000009,0.1
0.0175,-0.010000000000000009,0.26
0.018,0.0,0.13
0.0185,-0.020000000000000018,0.1
0.019,-0.020000000000000018,0.19
0.0195,-0.010000000000000009,0.14
0.02,-0.030000000000000027,0.13
0.0205,-0.010000000000000009,0.13
0.021,-0.030000000000000027,0.15
0.0215,-0.020000000000000018,0.17
0.022,-0.020000000000000018,0.07
0.0225,-0.010000000000000009,0.13
0.023,-0.010000000000000009,0.13
0.0235,-0.010000000000000009,-0.11
0.024,-0.030000000000000027,0.08
0.0245,-0.020000000000000018,0.17
0.025,-0.010000000000000009,0.1
0.0255,-0.020000000000000018,-0.05
0.026,-0.010000000000000009,0.1
0.0265,-0.010000000000000009,0.07
0.027,-0.010000000000000009,0.11
0.0275,-0.030000000000000027,0.11
0.028,-0.020000000000000018,0.04
0.0285,-0.020000000000000018,0.25
0.029001,-0.010000000000000009,0.04
0.0295,-0.020000000000000018,0.17
0.03,-0.020000000000000018,0.08
0.0305,-0.010000000000000009,0.11
0.031,-0.010000000000000009,0.1
0.0315,-0.020000000000000018,0.27
0.032,-0.010000000000000009,0.1
0.0325,-0.020000000000000018,-0.0
0.033,-0.020000000000000018,-0.02
0.0335,-0.010000000000000009,0.17
0.034,-0.030000000000000027,0.11
