Time (s),A0 (g),Force(N)
0.0,0.0,0.2
0.0005,0.0,0.18
0.001,0.010000000000000009,0.18
0.0015,-0.010000000000000009,0.3
0.002,-0.010000000000000009,0.16
0.0025,-0.010000000000000009,0.18
0.003,0.010000000000000009,0.09
0.003501,-0.010000000000000009,0.12
0.004001,0.0,0.12
0.004501,0.010000000000000009,0.18
0.005,-0.010000000000000009,0.14
0.0055,-0.010000000000000009,0.16
0.006,-0.010000000000000009,0.02
0.006501,-0.010000000000000009,0.17
0.007,0.0,0.09
0.0075,0.0,0.17
0.008,0.0,0.16
0.0085,-0.010000000000000009,0.13
0.009,0.0,0.15
0.009501,0.0,0.16
0.01,-0.010000000000000009,0.26
0.0105,-0.020000000000000018,0.28
0.011,-0.010000000000000009,0.16
0.011501,0.0,0.18
0.012,0.0,0.18
0.0125,-0.010000000000000009,0.18
0.013,-0.010000000000000009,0.14
0.0135,0.0,0.2
1.648,-0.020000000000000018,0.09
1.648501,-0.030000000000000027,0.14
1.649,-0.030000000000000027,0.07
1.6495,-0.020000000000000018,0.2
1.650001,-0.030000000000000027,0.13
1.6505,-0.020000000000000018,0.16
1.651,-0.030000000000000027,0.16
1.6515,-0.030000000000000027,0.13
1.652,-0.020000000000000018,0.27
1.6525,-0.020000000000000018,0.16
1.653,-0.040000000000000036,0.09
1.6535,-0.010000000000000009,0.17
1.654,-0.030000000000000027,0.22
1.6545,-0.040000000000000036,0.25
1.655,-0.030000000000000027,0.18
1.655501,-0.020000000000000018,0.12
1.656,-0.030000000000000027,0.18
1.6565,-0.030000000000000027,0.14
1.657,-0.030000000000000027,0.15
1.6575,-0.030000000000000027,0.08
1.658,-0.020000000000000018,0.19
1.6585,-0.030000000000000027,0.11
1.659,-0.030000000000000027,0.07
1.6595,-0.040000000000000036,0.19
1.66,-0.030000000000000027,0.11
1.6605,-0.030000000000000027,0.11
1.661,-0.020000000000000018,0.12
1.6615,-0.020000000000000018,0.07
1.662,-0.030000000000000027,0.17
1.6625,-0.040000000000000036,0.13
1.663,-0.040000000000000036,0.2
1.663501,-0.030000000000000027,0.18
1.664,-0.040000000000000036,0.31
1.6645,-0.030000000000000027,0.12
1.665,-0.030000000000000027,0.15
1.6655,-0.030000000000000027,0.16
1.666,-0.030000000000000027,0.18
1.6665,-0.040000000000000036,0.01
1.667,-0.030000000000000027,0.1
1.6675,-0.020000000000000018,0.1
1.668,-0.030000000000000027,-0.06
1.6685,-0.030000000000000027,0.09
1.669,-0.020000000000000018,0.02
1.669501,-0.030000000000000027,0.1
1.67,-0.030000000000000027,0.18
1.670501,-0.020000000000000018,0.1
1.671,-0.030000000000000027,0.18
1.6715,-0.010000000000000009,0.07
1.672,-0.020000000000000018,0.18
1.6725,-0.030000000000000027,0.14
1.673,-0.030000000000000027,0.1
1.6735,-0.040000000000000036,0.02
1.674,-0.020000000000000018,0.12
1.6745,-0.040000000000000036,0.1
1.675,-0.030000000000000027,0.25
1.6755,-0.030000000000000027,0.16
1.676,-0.010000000000000009,0.18
1.6765,-0.020000000000000018,0.08
1.677,-0.030000000000000027,0.31
1.6775,-0.020000000000000018,0.1
1.678,-0.020000000000000018,0.2
1.6785,-0.030000000000000027,0.2
1.679,-0.010000000000000009,0.07
1.6795,-0.020000000000000018,0.2
1.68,-0.020000000000000018,0.01
1.6805,-0.020000000000000018,0.18
1.681,-0.040000000000000036,0.17
1.6815,-0.030000000000000027,0.08
1.682,-0.030000000000000027,0.13
1.6825,-0.040000000000000036,0.14
1.683,-0.030000000000000027,0.04
1.6835,-0.020000000000000018,0.14
1.684,-0.030000000000000027,0.16
1.684501,-0.020000000000000018,0.1
1.685,-0.010000000000000009,0.18
1.685501,-0.010000000000000009,0.18
1.686,-0.020000000000000018,0.18
1.6865,-0.020000000000000018,0.18
1.687,-0.010000000000000009,0.1
1.687501,-0.010000000000000009,-0.16
1.688,-0.020000000000000018,-0.17
1.6885,0.0,0.24
1.689,-0.030000000000000027,0.42
1.6895,-0.020000000000000018,0.01
1.69,-0.020000000000000018,0.07
1.6905,-0.030000000000000027,0.1
1.691,-0.020000000000000018,0.2
1.6915,-0.020000000000000018,0.1
1.692,-0.020000000000000018,-0.05
1.6925,-0.040000000000000036,-0.06
1.693,-0.020000000000000018,0.1
1.6935,-0.020000000000000018,-0.03
1.694,-0.010000000000000009,0.1
1.6945,-0.020000000000000018,0.08
1.695,-0.030000000000000027,0.12
1.6955,-0.010000000000000009,0.2
1.696,-0.020000000000000018,0.14
1.6965,-0.020000000000000018,0.15
1.697,-0.020000000000000018,0.13
1.6975,-0.010000000000000009,0.17
1.698,-0.020000000000000018,0.24
1.698501,-0.010000000000000009,0.02
1.699,-0.010000000000000009,0.17
1.6995,-0.010000000000000009,0.21
1.7,-0.030000000000000027,0.2
1.7005,-0.010000000000000009,0.12
1.701,-0.020000000000000018,0.11
1.7015,-0.010000000000000009,0.08
1.702,-0.030000000000000027,0.08
1.7025,-0.020000000000000018,0.22
1.703,-0.020000000000000018,0.01
1.7035,0.0,0.1
1.704,-0.020000000000000018,0.09
1.7045,-0.010000000000000009,0.19
1.705,-0.020000000000000018,0.17
1.7055,-0.030000000000000027,0.1
1.706,-0.020000000000000018,0.21
1.706501,-0.020000000000000018,0.14
1.707,-0.020000000000000018,0.17
1.7075,-0.020000000000000018,0.05
1.708,-0.020000000000000018,0.14
1.7085,0.010000000000000009,0.15
1.709,0.0,0.32
1.7095,-0.030000000000000027,0.07
1.71,0.0,0.15
1.7105,0.0,0.1
1.711,-0.010000000000000009,0.07
1.7115,-0.010000000000000009,0.2
1.712,0.0,0.17
1.7125,-0.010000000000000009,0.08
1.713,-0.010000000000000009,0.04
1.7135,-0.010000000000000009,0.19
1.714,0.0,0.27
1.7145,-0.010000000000000009,0.16
1.715,-0.010000000000000009,0.12
1.7155,-0.020000000000000018,0.2
1.716,-0.010000000000000009,0.1
1.7165,0.0,0.12
1.717,-0.010000000000000009,0.29
1.717501,-0.010000000000000009,0.18
1.718,0.0,0.15
1.7185,-0.010000000000000009,0.15
1.719,0.0,0.16
1.7195,-0.010000000000000009,0.22
1.72,0.010000000000000009,0.18
1.7205,0.0,0.1
1.721,-0.020000000000000018,0.19
1.7215,-0.020000000000000018,0.11
