Time (s),A0 (g),Force(N)
0.0,-0.020000000000000018,0.3
0.0005,-0.010000000000000009,-0.03
0.001,-0.020000000000000018,-0.2
0.0015,-0.020000000000000018,0.13
0.002,-0.010000000000000009,0.08
0.0025,-0.020000000000000018,0.06
0.003,-0.030000000000000027,0.4
0.0035,-0.020000000000000018,0.01
0.004001,-0.010000000000000009,0.17
0.0045,-0.020000000000000018,0.21
0.005,-0.010000000000000009,0.49
0.0055,-0.010000000000000009,0.07
0.006,-0.020000000000000018,0.1
0.006501,-0.010000000000000009,0.08
0.007,-0.010000000000000009,0.06
0.0075,0.0,0.07
0.008,-0.010000000000000009,0.18
0.0085,-0.010000000000000009,-0.08
0.009,-0.020000000000000018,0.06
0.0095,-0.020000000000000018,-0.0
0.01,-0.010000000000000009,0.1
0.010501,0.0,0.33
0.011,-0.010000000000000009,0.2
0.0115,-0.010000000000000009,-0.02
0.012,-0.010000000000000009,0.12
0.0125,-0.010000000000000009,0.07
0.013,0.0,-0.04
0.0135,0.0,0.18
0.014,-0.010000000000000009,0.02
1.6325,-0.020000000000000018,0.17
1.633,-0.020000000000000018,0.07
1.6335,-0.010000000000000009,0.01
1.634,-0.010000000000000009,0.53
1.6345,-0.010000000000000009,0.18
1.635,-0.010000000000000009,0.02
1.6355,-0.020000000000000018,0.18
1.636,-0.030000000000000027,0.31
1.6365,-0.010000000000000009,-0.0
1.637,-0.020000000000000018,0.17
1.6375,-0.010000000000000009,0.1
1.638,-0.020000000000000018,0.08
1.6385,-0.010000000000000009,-0.07
1.639,-0.010000000000000009,0.45
1.639501,-0.020000000000000018,0.13
1.64,-0.030000000000000027,0.16
1.6405,-0.010000000000000009,-0.0
1.641,-0.020000000000000018,0.07
1.6415,-0.030000000000000027,0.1
1.642,-0.020000000000000018,0.1
1.6425,0.010000000000000009,0.17
1.643,-0.020000000000000018,0.12
1.643501,-0.010000000000000009,0.19
1.644,-0.020000000000000018,0.27
1.6445,-0.030000000000000027,-0.02
1.645,-0.010000000000000009,0.01
1.6455,-0.020000000000000018,0.22
1.646,-0.020000000000000018,0.09
1.6465,-0.030000000000000027,0.08
1.647,-0.020000000000000018,0.16
1.6475,-0.020000000000000018,0.14
1.648,-0.020000000000000018,0.15
1.6485,-0.010000000000000009,0.14
1.649,-0.020000000000000018,0.15
1.6495,-0.010000000000000009,0.17
1.65,-0.020000000000000018,0.18
1.6505,-0.020000000000000018,0.05
1.651,-0.010000000000000009,-0.12
1.6515,-0.030000000000000027,0.18
1.652,-0.020000000000000018,0.31
1.6525,-0.020000000000000018,0.36
1.653,-0.010000000000000009,0.01
1.6535,-0.010000000000000009,0.01
1.654,-0.020000000000000018,0.35
1.6545,-0.010000000000000009,0.12
1.655,-0.010000000000000009,0.17
1.6555,-0.010000000000000009,0.2
1.656,-0.010000000000000009,0.13
1.656501,0.0,0.07
1.657,-0.010000000000000009,0.47
1.6575,-0.030000000000000027,0.03
1.658,-0.010000000000000009,0.12
1.6585,-0.030000000000000027,0.01
1.659,-0.010000000000000009,0.02
1.6595,-0.020000000000000018,0.15
1.66,-0.020000000000000018,0.01
1.660501,-0.020000000000000018,-0.18
1.661,-0.010000000000000009,0.33
1.6615,-0.030000000000000027,0.1
1.662,-0.010000000000000009,0.11
1.6625,-0.020000000000000018,0.31
1.663,-0.020000000000000018,0.18
1.6635,-0.010000000000000009,0.01
1.664,0.0,-0.0
1.6645,-0.030000000000000027,0.08
1.665,-0.020000000000000018,0.07
1.6655,-0.030000000000000027,-0.04
1.666,-0.010000000000000009,0.16
1.6665,-0.010000000000000009,0.08
1.667,-0.020000000000000018,0.15
1.667501,-0.020000000000000018,0.17
1.668,-0.010000000000000009,0.21
1.6685,-0.020000000000000018,-0.02
1.669,-0.030000000000000027,0.19
1.6695,-0.010000000000000009,0.1
1.67,-0.010000000000000009,-0.14
