Time (s),A0 (g)
0.0,-0.1
0.000932,0.15
0.001848,-0.1
0.00278,0.11
0.0037,0.18
0.004624,-0.14
0.00556,0.15
0.006476,0.11
0.007396,0.08
0.008308,0.11
0.009228,-0.07
0.01016,0.11
0.011076,0.18
0.011996,-0.14
0.012932,0.15
0.013856,-0.1
0.014796,0.08
0.015716,0.11
0.016644,0.08
0.01756,0.15
0.018472,0.01
0.019388,0.04
0.020296,0.18
0.021204,0.11
0.022124,0.04
0.023044,0.11
0.023968,-0.07
0.024896,0.15
0.025816,0.01
0.026732,0.11
0.027656,0.18
0.028576,-0.03
0.029496,0.18
0.030412,-0.17
0.03134,0.11
0.03226,-0.17
0.033192,0.15
0.034112,-0.1
0.035044,0.15
0.035968,0.08
0.03688,-0.07
0.037804,0.11
0.038724,-0.14
0.039656,0.15
0.040568,0.04
0.041488,0.08
0.042404,0.11
0.043324,-0.17
0.044256,0.15
0.045172,0.08
0.046088,-0.1
0.04702,0.18
0.04794,-0.17
0.048872,0.08
0.04978,0.08
0.050696,-0.03
0.051624,0.18
0.052544,-0.17
0.053472,0.15
0.054396,0.08
0.055308,-0.03
0.056232,0.18
0.057156,-0.17
0.058088,0.11
0.059004,-0.17
0.059944,0.11
0.060864,-0.17
0.061808,0.11
0.062728,-0.14
0.063672,0.22
0.064596,-0.1
0.065532,0.11
0.066452,-0.17
0.06738,0.15
0.068296,0.08
0.069196,-0.17
0.070136,0.11
0.071056,-0.1
0.071996,0.15
0.07292,-0.1
0.073852,0.11
0.074776,-0.1
0.075708,0.15
0.076628,0.01
0.07754,0.04
0.078448,0.15
0.079364,0.08
0.080276,0.08
0.081184,0.18
0.082112,-0.17
0.083048,0.11
0.083968,-0.17
0.084912,0.11
0.085828,-0.17
0.08676,0.11
0.087676,-0.14
0.088616,0.15
0.089536,0.11
0.090452,-0.17
0.091384,0.15
0.092308,0.01
0.09322,0.08
0.094136,0.18
0.095052,-0.07
0.095976,0.11
0.0969,0.01
0.09782,0.08
0.098736,0.22
0.099668,-0.17
0.100608,0.11
0.101532,-0.17
0.102464,0.11
0.103388,-0.14
0.104324,0.15
0.105236,0.08
0.106148,-0.17
0.10708,0.11
0.108004,-0.17
0.108944,0.15
0.109864,0.11
0.110796,-0.14
0.111736,0.11
0.112668,-0.17
0.113608,0.11
0.114524,-0.1
0.115448,0.15
0.116356,0.15
0.117276,0.11
0.118196,0.08
0.119116,0.18
0.12004,-0.14
0.120976,0.18
0.121896,-0.17
0.122828,0.11
0.123748,-0.1
0.12468,0.11
0.125596,0.11
0.126516,0.01
0.127428,0.11
0.128348,-0.1
0.12928,0.11
0.130196,0.11
0.13112,0.08
0.13204,0.15
0.132956,0.11
0.133876,0.04
0.134788,0.15
0.135712,0.04
0.136628,0.04
0.137548,0.15
0.138468,0.08
0.13938,-0.17
0.140312,0.15
0.141228,-0.14
0.14216,0.15
0.143084,-0.1
0.144016,0.18
0.144936,0.15
0.145856,0.01
0.146768,0.11
0.147696,-0.14
0.14864,0.15
0.14956,0.08
0.150468,-0.14
0.151396,0.11
0.152312,-0.07
0.153228,0.08
0.154144,0.11
0.155068,-0.07
0.156,0.11
0.156924,0.08
0.15784,0.11
0.158768,-0.07
0.159704,0.11
0.16062,-0.1
0.16156,0.15
0.162468,0.04
0.163384,-0.03
0.164308,0.11
0.165228,-0.07
0.16616,0.18
0.16708,0.01
0.168004,0.11
0.168932,0.08
0.169848,0.04
0.170764,0.18
0.171684,0.04
0.172596,0.15
0.17352,0.01
0.174428,0.08
0.17534,0.15
0.17626,0.01
0.177172,0.08
0.178088,0.08
0.178996,-0.14
0.179932,0.15
0.180852,0.08
0.181768,0.08
0.182688,0.18
0.183616,0.01
0.184532,0.11
0.185452,-0.03
0.18638,0.15
0.1873,0.11
0.188216,0.04
0.189128,0.15
0.190044,-0.1
0.19098,0.11
0.191908,0.08
0.192828,0.08
0.193744,0.11
0.194676,-0.14
0.195616,0.11
0.196536,-0.14
0.197468,0.18
0.198388,-0.14
0.199316,0.18
0.200232,0.08
0.201148,-0.07
0.20208,0.11
0.203,-0.14
0.203944,0.11
0.204868,-0.17
0.205808,0.15
0.206728,0.11
0.207644,0.11
0.208564,0.11
0.209484,-0.17
0.210416,0.11
0.211332,-0.07
0.21226,0.11
0.21318,0.11
0.214108,0.11
0.215036,0.08
0.215952,0.04
0.216868,0.15
0.217788,-0.03
0.218716,0.11
0.219644,0.11
0.220572,0.11
0.2215,0.18
0.22242,-0.17
0.223352,0.18
0.224268,-0.17
0.2252,0.11
0.226116,0.08
0.227028,0.04
0.22794,0.11
0.228868,-0.1
0.229804,0.08
0.230724,0.01
0.231644,0.18
0.232568,0.04
0.233492,0.08
0.234404,0.18
0.235316,-0.14
0.236244,0.15
0.237164,0.08
0.23808,-0.21
0.239016,0.11
0.23994,0.08
0.24086,0.15
0.241784,0.18
0.242704,-0.17
0.243648,0.11
0.244564,-0.14
0.2455,0.15
0.246412,0.08
0.247324,-0.17
0.248256,0.15
0.249172,-0.14
0.250112,0.15
0.251032,0.11
0.251956,0.08
0.252872,0.18
0.253796,-0.14
0.254732,0.11
0.255652,-0.14
0.256588,0.11
0.257516,-0.1
0.258448,0.15
0.259364,0.01
0.26028,0.11
0.261196,0.22
0.262124,-0.17
0.263064,0.18
0.26398,-0.14
0.264916,0.15
0.265836,0.11
0.266764,-0.14
0.267704,0.11
0.268636,-0.14
0.269576,0.15
0.270508,-0.17
0.271444,0.15
0.272364,0.08
0.273272,-0.17
0.274192,0.11
0.275108,-0.07
0.276032,0.15
0.276952,0.01
0.277864,0.08
0.278784,0.22
0.279704,-0.03
0.28064,0.11
0.28156,-0.14
0.282496,0.18
0.283404,-0.07
0.284324,0.08
0.285228,0.11
0.286152,-0.14
0.287088,0.18
0.288008,-0.14
0.288944,0.15
0.289864,0.11
0.290784,-0.1
0.291716,0.11
0.292636,-0.1
0.293568,0.18
0.29448,0.11
0.295404,-0.14
0.296336,0.15
0.297256,0.01
0.298172,-0.03
0.299104,0.11
0.300024,-0.17
0.300956,0.11
0.301876,0.01
0.302788,0.08
0.3037,0.18
0.304624,-0.17
0.305556,0.11
0.30648,0.22
0.307396,-0.17
0.308328,0.15
0.30924,0.04
0.310164,0.04
0.311076,0.15
0.311992,-0.07
0.31292,0.15
0.313848,0.11
0.314768,-0.17
0.3157,0.18
0.316624,0.11
0.317544,0.08
0.31846,0.11
0.31938,-0.1
0.320304,0.15
0.321212,0.04
0.322124,0.15
0.323048,0.22
0.323972,0.08
0.324888,-0.17
0.32582,0.18
0.326744,-0.14
0.32768,0.15
0.3286,-0.14
0.329528,0.15
0.330436,0.08
0.33134,-0.03
0.332264,0.11
0.333188,-0.17
0.334124,0.15
0.335048,0.08
0.33596,-0.14
0.336896,0.15
0.337816,0.08
0.338724,-0.14
0.339656,0.15
0.340568,0.01
0.341488,0.15
0.342408,0.22
0.343332,-0.14
0.344268,0.18
0.345184,0.22
0.346116,-0.1
0.347052,0.15
0.347972,0.04
0.348884,-0.1
0.349816,0.22
0.35074,-0.17
0.351676,0.11
0.3526,-0.1
0.35354,0.15
0.35446,-0.1
0.355392,0.15
0.356308,0.08
0.357212,0.08
0.35812,0.11
0.359044,-0.17
0.35998,0.15
0.360904,-0.14
0.36184,0.15
0.36276,0.01
0.363676,0.11
0.364604,0.08
0.36552,-0.07
0.366436,0.11
0.367348,0.08
0.368252,-0.17
0.369184,0.15
0.370104,0.11
0.371024,0.11
0.371944,0.11
0.372872,0.08
0.373792,0.18
0.374712,-0.03
0.37564,0.18
0.376556,-0.1
0.377488,0.15
0.3784,0.11
0.379316,-0.17
0.380248,0.18
0.381168,0.11
0.382088,0.08
0.383,0.11
0.38392,-0.17
0.384856,0.15
0.385772,-0.1
0.386704,0.15
0.387624,0.01
0.388536,0.08
0.389452,0.15
0.390372,0.11
0.391292,-0.03
0.392216,0.11
0.393148,-0.07
0.394072,0.26
0.394996,-0.14
0.395932,0.18
0.396852,-0.1
0.397788,0.11
0.398716,0.08
0.399632,0.11
0.400564,0.11
0.401488,0.11
0.402404,0.11
0.403324,0.11
0.404236,0.11
0.405156,-0.1
0.406088,0.11
0.407008,-0.14
0.407944,0.15
0.408864,0.04
0.40978,0.01
0.4107,0.11
0.411624,-0.1
0.412556,0.11
0.413472,-0.14
0.414404,0.15
0.415316,0.11
0.416236,0.11
0.417164,0.04
0.418084,0.04
0.419004,0.15
0.419928,0.01
0.420844,0.11
0.421768,0.11
0.422692,0.04
0.423604,0.11
0.424524,0.01
0.425436,0.04
0.426352,0.15
0.427268,0.01
0.42818,0.08
0.429096,0.18
0.430024,-0.1
0.430952,0.11
0.431868,-0.1
0.4328,0.15
0.433712,0.11
0.43464,-0.1
0.435572,0.11
0.436496,-0.1
