t,F0,F1,F2,F3,F4,A0,A1,A2,A3,A4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.29552020666133955,0.29552020666133955,0.29552020666133955,0.29552020666133955,0.29552020666133955,0.12978506302440923,0.09173896929797914,0.052879930543835295,0.013154549430261103,-0.027088305709745873
0.02,0.5646424733950354,0.5646424733950354,0.5646424733950354,0.5646424733950354,0.5646424733950354,0.3814727615575649,0.26646636579879285,0.15180653352523826,0.03791035981092816,-0.07525050005959802
0.03,0.7833269096274833,0.7833269096274833,0.7833269096274833,0.7833269096274833,0.7833269096274833,0.5964268826427815,0.41789342701680543,0.2388739138186139,0.059831408959369524,-0.11963629795777828
0.04,0.9320390859672263,0.9320390859672263,0.9320390859672263,0.9320390859672263,0.9320390859672263,0.7601959838144584,0.5318542550896623,0.303897794930468,0.07590628109515726,-0.1518525283313914
0.05,0.9974949866040544,0.9974949866040544,0.9974949866040544,0.9974949866040544,0.9974949866040544,0.8542637675751966,0.5976924588956078,0.34152753819965886,0.0854250907787566,-0.17072464994859135
0.06,0.9738476308781953,0.9738476308781953,0.9738476308781953,0.9738476308781953,0.9738476308781953,0.8730703304478821,0.610796642703644,0.34899674489943117,0.08730477412648449,-0.17444410214905604
0.07,0.8632093666488737,0.8632093666488737,0.8632093666488737,0.8632093666488737,0.8632093666488737,0.8136715996235601,0.5692195439240083,0.3252206224811067,0.08135647201558133,-0.1625324604456552
0.08,0.675463180551151,0.675463180551151,0.675463180551151,0.675463180551151,0.675463180551151,0.6818545744665997,0.47711150865284585,0.2726694963099559,0.06820330168726522,-0.13636314372308372
0.09,0.42737988023383017,0.42737988023383017,0.42737988023383017,0.42737988023383017,0.42737988023383017,0.4892748428358769,0.34228340170869503,0.19556259446425944,0.04892132628045578,-0.09773545973424684
0.1,0.1411200080598672,0.1411200080598672,0.1411200080598672,0.1411200080598672,0.1411200080598672,0.25291169849343675,0.1769539618843593,0.10111750777093922,0.02529350597404287,-0.05055454018518939
0.11,-0.1577456941432482,-0.1577456941432482,-0.1577456941432482,-0.1577456941432482,-0.1577456941432482,-0.007274128389688139,-0.005091778146440187,-0.0029066023981021163,-0.0007262708432071111,0.001449893736970129
0.12,-0.4425204432948521,-0.4425204432948521,-0.4425204432948521,-0.4425204432948521,-0.4425204432948521,-0.26636426937849356,-0.18631110248249602,-0.10645988833695781,-0.02663813054199434,0.0532161694074253
0.13,-0.6877661591839741,-0.6877661591839741,-0.6877661591839741,-0.6877661591839741,-0.6877661591839741,-0.5005681403786337,-0.3505928443452626,-0.20044926020369072,-0.05009748832444201,0.10036951757020494
0.14,-0.8715757724135882,-0.8715757724135882,-0.8715757724135882,-0.8715757724135882,-0.8715757724135882,-0.6919408826505261,-0.4831471972471847,-0.27564774992469077,-0.0690459219013798,0.13722825206668463
0.15,-0.977530117665097,-0.977530117665097,-0.977530117665097,-0.977530117665097,-0.977530117665097,-0.8165530533290924,-0.5733926157526983,-0.3286650943470201,-0.08202293256344442,0.16565231728509242
0.16,-0.9961646088358407,-0.9961646088358407,-0.9961646088358407,-0.9961646088358407,-0.9961646088358407,-0.8746673130260361,-0.6112799045126364,-0.3491665417491079,-0.08743655279586991,0.1743632031293569
0.17,-0.9258146823277321,-0.9258146823277321,-0.9258146823277321,-0.9258146823277321,-0.9258146823277321,-0.8516352246798317,-0.5951111887940009,-0.33952299817105536,-0.08496510839606047,0.16904453055056656
0.18,-0.7727644875559877,-0.7727644875559877,-0.7727644875559877,-0.7727644875559877,-0.7727644875559877,-0.7510091232321114,-0.5254513468570634,-0.3002659509536899,-0.07511088359861255,0.1501282377568237
0.19,-0.5506855425976376,-0.5506855425976376,-0.5506855425976376,-0.5506855425976376,-0.5506855425976376,-0.5848880559051851,-0.40912790664848087,-0.2337333368270771,-0.05847376878947252,0.1167838303450336
0.2,-0.27941549819892586,-0.27941549819892586,-0.27941549819892586,-0.27941549819892586,-0.27941549819892586,-0.36675130420463004,-0.2566059934904243,-0.14662911646519408,-0.036677557766277596,0.07330529672106273
0.21,0.016813900484349713,0.016813900484349713,0.016813900484349713,0.016813900484349713,0.016813900484349713,-0.11611309774102621,-0.08124207345836572,-0.04642475032115442,-0.01161220075748399,0.02321033404890392
0.22,0.31154136351337786,0.31154136351337786,0.31154136351337786,0.31154136351337786,0.31154136351337786,0.14529292411008712,0.10165352407848903,0.05808563947367969,0.014529565195139192,-0.029036936651814012
0.23,0.5784397643882001,0.5784397643882001,0.5784397643882001,0.5784397643882001,0.5784397643882001,0.394042085926556,0.2756878462758532,0.15753311575804008,0.03940642822720933,-0.07875447256078058
