t,F0,A0,F1,A1,F2,A2,F3,A3,F4,A4
0,0.118907892,-0.024417529,0.118907892,-0.247826621,-0.063765803,-0.389770346,-0.063765803,0.204106785,0.225580644,0.155319783
0.00048828,0.157179795,-0.57534892,0.157179795,0.424739424,-0.636487196,-0.029594032,-0.636487196,-1.046581904,0.93727519,-1.00791011
0.00097656,-0.24236802,0.35094976,-0.24236802,-0.511205641,0.421554504,0.283692146,0.421554504,0.341672075,-0.190253087,0.508220677
0.0014648,-0.325154761,-0.146936319,-0.325154761,-0.002804414,0.464169319,-0.120746043,0.464169319,1.078363847,-0.610158298,1.729007626
0.0019531,0.118365028,-0.541975552,0.118365028,0.62081013,0.02906392,1.041732918,0.02906392,-0.968734735,0.42508312,-0.399951008
0.0024414,-0.315383211,0.596861375,-0.315383211,-0.52742021,0.177537191,0.228517143,0.177537191,0.215796787,0.439469012,0.160434734
0.0029297,-0.194053134,1.046958663,-0.194053134,-0.970649212,0.45032629,-0.106552205,0.45032629,1.015444671,0.082807444,1.564578239
0.003418,0.320581823,-0.390059639,0.320581823,0.511254061,-0.149266864,0.575287481,-0.149266864,-0.860729946,0.556999042,-0.417296295
0.0039062,0.166679913,-0.44203395,0.166679913,0.490995083,0.417754457,0.381737953,0.417754457,0.013908781,0.040735493,-0.247758112
0.0043945,-0.287425722,0.20766956,-0.287425722,-0.26114793,0.729358324,-0.432136426,0.729358324,1.367191246,-0.601472476,1.323479972
0.0048828,-0.049651343,-0.056116688,-0.049651343,0.041376286,-0.10529489,0.192004635,-0.10529489,-0.772608626,0.112393525,-0.66754731
0.0053711,0.287195694,0.21640991,0.287195694,-0.150028269,0.181880102,0.086301788,0.181880102,-0.393942419,0.129222306,-1.119645031
0.0058594,-0.335740607,0.237922252,-0.335740607,-0.340823392,0.418297321,-1.153744709,0.418297321,1.471637941,-0.944019583,0.856320534
0.0063477,-0.200024637,-0.142744644,-0.200024637,0.00050129,-0.565914891,-0.251906701,-0.565914891,-1.03117991,-0.324340465,-0.572776056
0.0068359,0.060821457,-0.846207466,0.060821457,0.717481957,-0.262182551,0.175964245,-0.262182551,-0.969030217,0.096650473,-1.974137421
0.0073242,0.018749506,-0.086572502,0.018749506,-0.012518381,0.540170262,-0.760995201,0.540170262,1.768646494,-0.646801609,0.488228664
0.0078125,-0.13053806,0.511427524,-0.13053806,-0.604405556,-0.343340701,0.316757754,-0.343340701,-0.584325099,-0.352840819,-0.140830384
0.0083008,-0.067565851,-0.069288766,-0.067565851,-0.014869925,-0.615858368,0.743225319,-0.615858368,-1.391513927,0.245666608,-1.595944905
0.0087891,0.065978664,-0.220995404,0.065978664,0.176984009,0.539355966,-0.115317177,0.539355966,1.5648317,-0.216581985,0.728311326
0.0092773,0.140079583,-0.300120199,0.140079583,0.235144695,-0.197038886,0.323866983,-0.197038886,0.025906577,0.263309684,0.335875733
0.0097656,0.503255518,-0.270224506,0.503255518,0.400171335,-0.755374385,0.986348639,-0.755374385,-1.768370308,0.558356202,-1.115040958
0.010254,0.17319428,0.141125945,0.17319428,0.049108062,0.564870569,-0.050712443,0.564870569,1.339569845,-0.466027938,1.694766379
0.010742,-0.02685106,0.970394422,-0.02685106,-0.698097941,0.132479489,-0.300409492,0.132479489,0.784451698,-0.36559812,1.622215312
0.01123,-0.177224354,0.149281554,-0.177224354,0.064257665,-0.539585993,0.918727869,-0.539585993,-2.073886277,0.712529544,-0.83956603
0.011719,0.0654358,0.058560407,0.0654358,0.179255526,0.46715507,-0.695824191,0.46715507,1.110380542,-0.01707951,0.849131288
0.012207,0.086064627,0.190391979,0.086064627,-0.07009426,0.478555212,-0.769323155,0.478555212,1.149827375,-0.011922303,1.362854636
0.012695,0.309995977,0.02330971,0.309995977,0.104843335,-0.272768397,0.651174653,-0.272768397,-1.889837991,0.770615979,-1.488321643
0.013184,0.079550261,-0.012470331,0.079550261,0.031219095,0.331981964,-0.964565356,0.331981964,0.880021624,-0.064037235,0.061933443
0.013672,-0.026579628,0.181146904,-0.026579628,-0.255281383,0.806173563,-0.385929516,0.806173563,1.118327774,-0.828389577,1.201607475
0.01416,0.143608198,-0.486831325,0.143608198,0.369170359,-0.520585758,0.158095767,-0.520585758,-1.364846686,0.166137049,-1.614884384
0.014648,0.090136106,-0.543175812,0.090136106,0.451203521,-0.156324095,-0.33189322,-0.156324095,-0.02051486,0.110764934,-0.935143612
0.015137,-0.234225061,0.231650128,-0.234225061,-0.392409607,0.751344311,0.123934537,0.751344311,1.203734354,-0.584372263,0.74376082
0.015625,-0.030108243,0.147515019,-0.030108243,-0.192337583,-0.411198686,0.294876101,-0.411198686,-0.528263565,0.137908128,-1.201305758
0.016113,-0.249696682,-0.324950181,-0.249696682,0.220678394,-0.125109422,0.987413485,-0.125109422,-0.864251105,0.30755309,-0.977195779
0.016602,0.104793431,0.427489381,0.104793431,-0.462691207,0.163965594,-0.446367195,0.163965594,1.37434437,-0.576229305,0.871696165
0.01709,0.206580408,-0.62868968,0.206580408,0.599818603,-0.617758392,0.313052338,-0.617758392,-0.66737398,-0.097694796,-0.01869937
0.017578,0.179708646,-0.269990609,0.179708646,0.365686135,-0.81346082,0.420521721,-0.81346082,-1.290797692,0.133836649,-0.476293663
0.018066,-0.270325509,0.739353713,-0.270325509,-0.726913582,0.161251274,-0.541347724,0.161251274,1.206726108,-0.691587879,1.423495436
0.018555,0.099636224,0.28716982,0.099636224,-0.158338697,0.064892936,0.363173941,0.064892936,-0.131788418,-0.22418208,0.746259821
0.019043,0.29642438,-0.2972088,0.29642438,0.450230893,-0.630515693,-0.008174018,-0.630515693,-1.018634241,0.515469956,-0.88137199
0.019531,0.089593242,0.27914347,0.089593242,-0.186760362,0.10180768,-0.549835713,0.10180768,0.593792004,-0.030651107,0.637928713
0.02002,-0.047479887,-0.0830025,-0.047479887,0.137752631,0.051321339,-0.433804479,0.051321339,0.296949659,0.144965358,0.548727894
0.020508,0.110493502,-0.100507822,0.110493502,0.221152396,-0.788489082,-0.495048486,-0.788489082,-0.974976791,0.79314483,-1.289681784
0.020996,-0.124295126,0.521768221,-0.124295126,-0.505591485,-0.341712109,-0.510479514,-0.341712109,-0.216745619,-0.393827042,0.113532289
0.021484,-0.04232268,0.247081155,-0.04232268,-0.264545972,0.247838063,-0.342289314,0.247838063,0.674255418,-0.677744851,1.228813356
0.021973,-0.10529489,-0.587080687,-0.10529489,0.486519764,-0.45652782,-0.070316681,-0.45652782,-0.447387707,0.467969366,-1.358428951
0.022461,-0.176138626,-0.062358037,-0.176138626,-0.128710481,0.136550968,0.845259682,0.136550968,-0.520347113,-0.065122963,-0.603299577
0.022949,-0.188353064,-0.13093286,-0.188353064,-0.069687972,0.3705253,-0.227938443,0.3705253,1.256896472,-1.009163249,1.515299895
0.023438,-0.280368491,-0.297842783,-0.280368491,0.052253713,-0.149266864,0.660388953,-0.149266864,-0.504249505,-0.286068562,-0.786108322
0.023926,0.001377862,0.376875364,0.001377862,-0.593743585,-0.468199393,0.380710039,-0.468199393,-0.787308851,0.479912371,-0.935045129
0.024414,-0.309140277,-0.704810749,-0.309140277,0.395917627,0.480726667,0.014132342,0.480726667,1.0196676,-0.314026052,0.531967348
0.024902,-0.172881443,-0.32072773,-0.172881443,0.068776076,-0.348497908,-0.338233052,-0.348497908,0.048227772,-0.077880264,-0.275007078
0.025391,0.052135635,-0.009602019,0.052135635,-0.187929978,-0.649244497,0.297091965,-0.649244497,-1.452518627,0.436211829,-0.730957939
0.025879,0.144422494,-0.353263993,0.144422494,0.295995499,0.103707703,-0.699492677,0.103707703,0.763921862,-0.056165709,0.426042915
0.026367,-0.083851767,0.367697996,-0.083851767,-0.355209667,0.28095276,-0.240507313,0.28095276,0.480493164,-0.254582457,0.39486079
0.026855,-0.254039593,0.330176039,-0.254039593,-0.316747774,-0.400069976,0.162644443,-0.400069976,-1.093723578,0.143608198,-0.144917421
0.027344,-0.083851767,-0.239590192,-0.083851767,0.345254793,-0.072994489,-0.631311785,-0.072994489,0.342029116,0.111850661,0.471714325
