t,FA_1,A_1,FA_2,A_2,FA_3,A_3,FA_4,A_4,FA_5,A_5
0,-0.030922539,0.680541001,-0.030922539,-0.545690841,1.070819704,0.956957671,1.070819704,-0.94613037,-0.034451154,-0.489945845
0.00048828,-0.094709044,0.475481293,-0.094709044,-0.38188922,0.197623154,-1.093399358,0.197623154,1.934596515,0.474483733,-0.710965926
0.00097656,-0.143838226,0.006623027,-0.143838226,-0.003912471,0.399297085,0.778734533,0.399297085,0.147134181,0.08362174,0.019555053
0.0014648,-0.123752262,-0.18357193,-0.123752262,0.196516593,0.409340067,0.788687454,0.409340067,-0.812972685,-0.677473419,-0.325202543
0.0019531,-0.108552073,-0.206149118,-0.108552073,0.216886377,-0.520042894,-1.093891772,-0.520042894,0.379733837,-0.39084129,0.443917547
0.0024414,0.192194516,0.504349071,0.192194516,-0.011835079,0.007620797,0.15591068,0.007620797,-0.6427628,-0.110452097,1.028683944
0.0029297,0.330353373,1.095430679,0.330353373,-0.382030805,0.091493266,1.069246558,0.091493266,-0.686500277,-0.20328182,-1.303887931
0.003418,0.172922848,0.39348203,0.172922848,-0.072648947,-0.459242139,-1.054049314,-0.459242139,1.848106501,0.276881281,-1.153516967
0.0039062,-0.14302393,-0.14939839,-0.14302393,-0.066400736,0.159079819,0.072360313,0.159079819,0.160116917,0.46715507,0.453144157
0.0043945,0.161794138,-1.082560092,0.161794138,0.847580174,0.398754222,1.280258322,0.398754222,-1.847344001,-0.333569151,-0.255372065
0.0048828,-0.073265921,-0.651451523,-0.073265921,0.283616038,0.220423437,-1.166455149,0.220423437,0.728433255,-0.447841998,0.714579128
0.0053711,-0.235310789,0.12125088,-0.235310789,-0.440893262,0.260323932,0.308983766,0.260323932,0.213457555,0.461997863,1.526299195
0.0058594,0.217437686,0.2676456,0.217437686,-0.091922985,0.482083827,0.864623867,0.482083827,-0.093954423,0.285838535,-0.521608073
0.0063477,-0.260282528,0.431176332,-0.260282528,-0.666425975,-0.182924425,-1.131050573,-0.182924425,1.171951583,0.569756343,-1.198622101
0.0068359,-0.636215764,-0.88366787,-0.636215764,-0.020754939,-0.210881915,-0.041756661,-0.210881915,-0.823129875,0.490226785,0.383098247
0.0073242,-0.281454219,-1.063928372,-0.281454219,0.509567351,0.051321339,0.418681323,0.051321339,-1.441555018,-0.10393773,-0.028892342
0.0078125,0.053764226,-0.157480136,0.053764226,0.283769935,0.043992677,-0.639005756,0.043992677,0.754878885,-0.023051012,0.775226082
0.0083008,0.487783898,0.477567898,0.487783898,0.256567133,0.248109495,0.568418304,0.248109495,0.674169236,0.40418286,1.13310036
0.0087891,0.138450992,2.113804646,0.138450992,-1.281440765,0.623771299,0.723928841,0.623771299,0.308184127,0.050778475,-1.643425938
0.0092773,0.447611971,0.602998086,0.447611971,0.110986896,0.100179088,-0.143637144,0.100179088,0.151190901,0.630285666,-1.627477875
0.0097656,-0.38378406,-0.409743894,-0.38378406,0.02169596,-0.280368491,0.056443026,-0.280368491,-0.743146619,0.771430274,0.648718738
0.010254,-0.131080924,-1.423852323,-0.131080924,0.925008743,-0.971434209,-0.201378856,-0.971434209,-0.477711537,-0.405770047,-0.389505673
0.010742,-0.184824448,-0.548296919,-0.184824448,0.215975307,-0.723073984,-1.027883658,-0.723073984,0.695554738,0.015220891,0.36278001
0.01123,-0.297468703,0.726267808,-0.297468703,-0.905864806,0.048878452,0.426498398,0.048878452,-0.416085094,0.417211593,1.777448866
0.011719,0.301581587,0.650368325,0.301581587,-0.264219711,0.631914258,0.560693558,0.631914258,-0.248571482,-0.001879321,-1.727167115
0.012207,-0.081408879,0.466814804,-0.081408879,-0.576944208,-0.108280641,-0.358422031,-0.108280641,0.840033074,0.317053208,-0.922248517
0.012695,-0.2591968,-1.539089539,-0.2591968,0.74835366,0.20956616,-0.159283603,0.20956616,0.27706619,0.186494445,1.641893412
0.013184,-0.224453512,-1.322242668,-0.224453512,0.6113978,-0.165281349,0.54108932,-0.165281349,-0.997839702,-0.764603071,-0.325288716
0.013672,-0.172610011,-0.154876497,-0.172610011,-0.182574369,-0.18509588,-0.956908317,-0.18509588,0.324275579,-0.907376271,1.167686297
0.01416,0.051592771,0.290210478,0.051592771,-0.16876059,-0.401155704,0.047117933,-0.401155704,-0.21061437,-0.016265214,1.417389501
0.014648,0.124336531,1.455791648,0.124336531,-0.939900627,0.02200669,0.243240325,0.02200669,-0.082356759,-0.438613312,-1.72769646
0.015137,0.023363849,0.20595842,0.023363849,-0.040552226,0.08226458,-0.244157333,0.08226458,0.555274707,-0.059694324,-1.156249866
0.015625,-0.146281113,-1.003632262,-0.146281113,0.721692574,-0.001607889,0.417979633,-0.001607889,-0.21291051,0.302938747,0.665263853
0.016113,0.242137992,-0.31966904,0.242137992,0.590295468,0.579527893,0.138306875,0.579527893,-0.113031473,-0.596315269,-0.473468437
0.016602,0.134650944,0.417136374,0.134650944,0.015755543,-0.236396517,0.438870303,-0.236396517,-0.181983405,-0.453270637,0.23680201
0.01709,0.147136814,1.228745649,0.147136814,-0.61507984,-0.04096552,-0.606543355,-0.04096552,0.776430596,0.217709118,0.856812948
0.017578,0.318681799,1.398462333,0.318681799,-0.623205592,0.01793521,0.387825423,0.01793521,-0.468982509,-0.140852474,-1.400314928
0.018066,0.078735965,-0.492684898,0.078735965,0.476731926,-0.184010153,0.131209956,-0.184010153,-0.394188654,0.029335352,-0.744376224
0.018555,-0.016536646,-1.27578955,-0.016536646,0.869014923,-0.446213406,-0.999169759,-0.446213406,0.659949169,0.209837592,1.226092768
0.019043,0.198980314,-0.476619887,0.198980314,0.526582184,-0.105837754,0.235146268,-0.105837754,-0.497958203,-0.621015575,0.326427537
0.019531,0.369711004,0.256929438,0.369711004,0.152619064,-0.173424307,0.15784956,-0.173424307,-0.327360498,-0.314026052,0.686351488
0.02002,0.446526243,1.34869773,0.446526243,-0.569507913,-0.431556081,-0.963531287,-0.431556081,0.85396997,0.431326054,1.188872415
0.020508,0.222323461,0.982033861,0.222323461,-0.535816821,-0.103666298,0.306564782,-0.103666298,-0.496887081,0.207937568,-1.263368404
0.020996,-0.343069269,-0.898551087,-0.343069269,0.30588183,0.362653774,0.451999294,0.362653774,-0.551778999,0.605585359,-1.021833119
0.021484,-0.092266157,-1.495283147,-0.092266157,1.018140943,-0.101766275,-0.246010041,-0.101766275,0.605568189,0.433768942,0.882910897
0.021973,-0.34605502,-0.242544677,-0.34605502,-0.135906697,0.144693926,0.099412314,0.144693926,0.368708669,-0.384055492,-0.574173281
0.022461,-0.215224826,0.336940578,-0.215224826,-0.386487657,0.723658253,0.771539132,0.723658253,-0.458172797,-0.33764063,0.311962872
0.022949,0.209837592,1.667024998,0.209837592,-0.981255781,0.055935682,0.238851684,0.055935682,0.002729716,-0.087923246,0.920045077
0.023438,0.000292134,0.725141411,0.000292134,-0.506465619,0.123793667,-0.620755658,0.123793667,0.709854831,-0.013550895,-1.70102608
0.023926,-0.140581042,-1.421888822,-0.140581042,0.914913111,0.141708175,0.748038667,0.141708175,-0.749056257,0.10886491,-0.415511294
0.024414,0.007620797,-0.752999627,0.007620797,0.51992153,-0.035808314,-0.28937326,-0.035808314,0.107921271,0.35369652,0.465903838
0.024902,0.295881516,-0.457821978,0.295881516,0.594001304,-0.054808549,-0.738762703,-0.054808549,0.505092032,-0.423141691,-0.313735449
0.025391,-0.02685106,0.931801465,-0.02685106,-0.771488257,0.480998099,0.804530878,0.480998099,-0.862890658,-0.111809257,0.863134315
0.025879,0.205766113,1.414410395,0.205766113,-0.919961755,0.354782247,-0.023561959,0.354782247,0.253119844,-0.129452333,1.029988841
0.026367,0.151751157,-0.437152895,0.151751157,0.448858133,-0.011650871,-0.548573902,-0.011650871,0.899991276,-0.470370849,-1.089533907
0.026855,-0.508099888,-1.222965825,-0.508099888,0.341216541,0.433768942,0.56948315,0.433768942,-0.53768205,0.053221363,0.208666698
0.027344,-0.628344238,-1.097917257,-0.628344238,0.176879359,0.033678263,0.269209015,0.033678263,-0.451124322,-0.185910176,1.049753114
0.027832,0.089593242,-0.442760261,0.089593242,0.417444714,-0.765960231,-0.903407522,-0.765960231,0.68925728,-0.477428079,-0.773773348
0.02832,0.038021174,1.459589392,0.038021174,-0.959667135,-0.178581514,-0.006007396,-0.178581514,-0.241818489,0.203323225,0.844410267
0.028809,0.285567103,0.951011771,0.285567103,-0.364554282,0.042906949,0.828837671,0.042906949,-0.868529437,0.583056508,0.210402458
0.029297,0.372425323,0.164724892,0.372425323,0.287734317,-0.236667949,-0.654849181,-0.236667949,0.922768005,-0.131080924,-2.221507813
0.029785,0.098821928,-0.527030784,0.098821928,0.548115427,0.024992441,0.115311135,0.024992441,0.257441267,0.347453585,-0.275844182
0.030273,-0.075980241,-0.993790135,-0.075980241,0.698946624,-0.163381325,0.832124535,-0.163381325,-0.770804956,-0.086023222,0.982704775
0.030762,0.017120915,0.48776087,0.017120915,-0.306338193,-0.760803024,-1.268034028,-0.760803024,0.728741049,-0.540671721,-0.549158644
0.03125,0.364010933,0.978094548,0.364010933,-0.282594991,-0.083308903,-0.212889036,-0.083308903,-0.488127274,-0.039065497,1.116105917
0.031738,0.172922848,0.679888552,0.172922848,-0.265530912,0.328453349,1.198412939,0.328453349,-1.315919809,0.35939659,0.207823439
0.032227,-0.123209398,0.1611672,-0.123209398,-0.202913373,0.102079112,-0.97812521,0.102079112,1.643294455,-0.08846611,-1.731875825
0.032715,-0.26896835,-1.010815353,-0.26896835,0.453585844,0.025806737,0.101412746,0.025806737,0.63417453,0.37758253,0.53653449
0.033203,-0.406584343,-0.947324707,-0.406584343,0.231758965,0.240509401,0.753658344,0.240509401,-0.986482117,0.088507515,1.259792359
0.033691,-0.31239746,-0.046483837,-0.31239746,-0.331023243,-0.297197271,-1.00024076,-0.297197271,0.043161489,-0.289054313,-0.24612699
0.03418,-0.075708809,0.322038896,-0.075708809,-0.387817326,-0.163924189,-0.110128363,-0.163924189,-0.432545898,0.364282365,0.955240377
0.034668,0.584142236,0.270600085,0.584142236,0.326854889,-0.013008031,0.760872211,-0.013008031,-0.352470304,0.527412961,-0.366116002
0.035156,0.109950638,0.462413853,0.109950638,-0.255712294,-0.573786418,-0.814594479,-0.573786418,1.502417305,0.10045052,-2.050030748
0.035645,-0.222282056,-0.72573835,-0.222282056,0.266287256,-0.210339051,-0.22156168,-0.210339051,0.140442747,0.450597722,0.479691434
0.036133,-0.138409587,-0.40752803,-0.138409587,0.155112192,0.106693455,1.006925395,0.106693455,-1.809337642,-0.094709044,0.796350649
0.036621,-0.178310082,-0.051795754,-0.178310082,-0.133567465,-0.205181844,-0.697024451,-0.205181844,0.275047063,-0.388126971,-0.627040093
0.037109,-0.351483659,-0.152297478,-0.351483659,-0.193993513,-0.065122963,-0.12081375,-0.065122963,0.74620526,0.047792724,0.798880426
0.037598,0.02770676,0.629422259,0.02770676,-0.40502299,0.550213244,1.103340081,0.550213244,-0.130304852,0.112664957,-0.688037893
0.038086,-0.195681726,0.352839399,-0.195681726,-0.42994812,-0.291225769,-0.380586822,-0.291225769,0.643857718,-0.248610954,-1.438957126
0.038574,-0.219296305,-0.817118101,-0.219296305,0.381063506,-0.721445393,-0.983787973,-0.721445393,0.06845597,0.334696284,1.198314456
0.039062,0.067607255,-0.050226184,0.067607255,0.067298666,-0.2591968,0.286209613,-0.2591968,-1.711286899,-0.309683141,0.948168079
0.039551,0.110764934,-0.194164989,0.110764934,0.214768756,-0.102580571,-0.239460933,-0.102580571,-0.285986877,-0.420427372,-0.539999741
0.040039,-0.197853181,0.120327604,-0.197853181,-0.291711839,0.340667786,-0.36846728,0.340667786,1.299839841,0.094479017,1.095547627
0.040527,0.435668965,0.55484614,0.435668965,-0.033823857,1.047476557,1.249771732,1.047476557,0.227923857,-0.413641573,-0.551731507
0.041016,-0.077065968,0.038223703,-0.077065968,-0.137839641,0.395225606,0.378229503,0.395225606,0.268786541,-0.326240489,-1.205755951
0.041504,-0.256211048,-0.866950411,-0.256211048,0.35781893,-0.297468703,-0.995058101,-0.297468703,0.31469704,0.197894586,2.005178089
0.041992,0.007077933,-0.091392005,0.007077933,0.087551488,-0.233682198,0.395642497,-0.233682198,-1.606206149,-0.435898992,-0.114935556
0.04248,0.071950166,-0.175262442,0.071950166,0.24769652,0.140893879,-0.006739862,0.140893879,-0.413875136,-0.82458953,-1.442047025
0.042969,0.363468069,0.244680636,0.363468069,0.30756854,0.395497038,-0.239762537,0.395497038,1.260743893,0.423454528,0.934952915
0.043457,0.55102754,1.484530167,0.55102754,-0.441607343,0.88136021,1.081932377,0.88136021,0.428648403,-0.100680547,-0.411350395
0.043945,-0.334383447,0.451808484,-0.334383447,-0.535244325,0.513841364,0.293731239,0.513841364,0.244046088,-0.17803865,-1.417038543
0.044434,-0.014908054,-0.817179653,-0.014908054,0.704062154,0.068150119,-0.619186088,0.068150119,-0.10835301,0.62241414,1.551633902
0.044922,0.512484204,-0.088917624,0.512484204,0.652457472,0.192737379,0.356803333,0.192737379,-1.349912539,0.095564745,-0.232948757
0.04541,-0.306425957,-0.145317508,-0.306425957,-0.114090283,0.384639761,0.075881074,0.384639761,-0.059863199,-0.022508149,-1.366479922
0.045898,0.068964415,0.480411589,0.068964415,-0.260279952,-0.112894984,-0.277469149,-0.112894984,1.337378354,0.743744217,1.664015116
0.046387,0.613456886,1.53327301,0.613456886,-0.57682109,0.045621268,0.043535621,0.045621268,0.571809382,0.058378569,-0.126802736
0.046875,-0.473628032,-0.503351819,-0.473628032,-0.129529213,-0.143566794,0.131911646,-0.143566794,-0.8598435,-0.251596706,-0.920488137
0.047363,-0.172610011,-1.465307437,-0.172610011,0.811020445,-0.586272287,-0.647161365,-0.586272287,-0.692422226,0.716601023,1.972764929
0.047852,-0.109094937,0.026455006,-0.109094937,-0.284718767,-0.287697153,-0.256449221,-0.287697153,-0.289741959,-0.200838933,-0.235546241
0.04834,-0.67910201,-1.084418955,-0.67910201,0.058046389,0.537184511,0.725098324,0.537184511,0.151695683,-0.528457284,-1.717774316
0.048828,0.101264816,0.290075064,0.101264816,-0.200278659,0.562699113,0.502022414,0.562699113,1.080573806,0.786901895,1.651335453
0.049316,0.383825465,1.41682938,0.383825465,-0.719046377,0.120807915,0.048305882,0.120807915,0.740504922,-0.108280641,-0.092807696
0.049805,-0.134066676,-1.148962137,-0.134066676,0.734336737,-0.272496965,0.055316629,-0.272496965,-0.820821422,-0.611786889,-2.166105068
0.050293,0.071135871,0.046330071,0.071135871,0.051268773,-0.743159948,-0.449266283,-0.743159948,-1.031296871,0.127865146,1.518857587
0.050781,-0.027122492,0.338177769,-0.027122492,-0.198364183,-0.626715646,-0.754975438,-0.626715646,-0.039856613,-0.201924661,-0.168953386
0.05127,-0.207353299,-1.085009852,-0.207353299,0.743472052,0.233995034,0.262050545,0.233995034,0.218782385,-0.391927018,-1.308842849
0.051758,0.599613857,1.418552829,0.599613857,-0.286762517,0.90660338,0.602000948,0.90660338,0.582859174,0.93456087,1.691381032
0.052246,0.509498453,1.143471832,0.509498453,-0.142548884,0.627028483,0.162176649,0.627028483,0.654759769,0.226123508,-0.547662936
